id,active,category,section,sortOrder,name,englishName,description,price,includesFries,meatChoiceRequired,featured,imageUrl,imageAlt,availabilityLabel,optionGroupsJson
mf-7255491,TRUE,Tacos,,1,Asada (Steak),,,3.25,FALSE,FALSE,FALSE,,,,
mf-7255492,TRUE,Tacos,,2,Pastor (Marinated Pork),,,3.25,FALSE,FALSE,FALSE,,,,
mf-7255494,TRUE,Tacos,,3,Pollo (Chicken),,,3.25,FALSE,FALSE,FALSE,,,,
mf-8041768,TRUE,Tacos,,4,Chorizo,,,3.25,FALSE,FALSE,FALSE,,,,
mf-8041769,TRUE,Tacos,,5,Cactus (Nopal),,,3.49,FALSE,FALSE,FALSE,,,,
mf-7255495,TRUE,Tacos,,6,Quesabirria,,Brisket & cheese.,3.49,FALSE,FALSE,TRUE,,,,
mf-7255493,TRUE,Tacos,,7,Birria (Stewed Beef),,Brisket.,3.49,FALSE,FALSE,TRUE,,,,
mf-12772871,TRUE,Tacos,,8,Tripe,,,3.49,FALSE,FALSE,FALSE,,,,
mf-12772872,TRUE,Tacos,,9,Tongue,,,3.49,FALSE,FALSE,FALSE,,,,
mf-12772873,TRUE,Tacos,,10,Campechano,,,3.49,FALSE,FALSE,FALSE,,,,
mf-7255496,TRUE,Burritos,,1,Asada (Steak),,,10.99,FALSE,FALSE,FALSE,,,,
mf-8041841,TRUE,Burritos,,2,Pollo (Chicken),,,10.99,FALSE,FALSE,FALSE,,,,
mf-8041842,TRUE,Burritos,,3,Chorizo,,,10.99,FALSE,FALSE,FALSE,,,,
mf-7255497,TRUE,Burritos,,4,Pastor (Marinated Pork),,,10.99,FALSE,FALSE,FALSE,,,,
mf-8041843,TRUE,Burritos,,5,Birria Burrito,,,11.49,FALSE,FALSE,TRUE,,,,
mf-11272021,TRUE,Burritos,,6,Nopal (Cactus),,,11.49,FALSE,FALSE,FALSE,,,,
mf-11272022,TRUE,Burritos,,7,Mamalon,,,13.25,FALSE,FALSE,FALSE,,,,
mf-7255499,TRUE,Tortas,,1,Asada (Steak),,,10.99,FALSE,FALSE,FALSE,,,,
mf-8042238,TRUE,Tortas,,2,Pollo (Chicken),,,10.99,FALSE,FALSE,FALSE,,,,
mf-7255500,TRUE,Tortas,,3,Pastor (Marinated Pork),,,10.99,FALSE,FALSE,FALSE,,,,
mf-7255501,TRUE,Tortas,,4,Cubana Jamon,,,11.5,FALSE,FALSE,FALSE,,,,
mf-8042242,TRUE,Tortas,,5,Cubana Torta,,,11.49,FALSE,FALSE,FALSE,,,,
mf-8042243,TRUE,Tortas,,6,Megladon Torta,,,13.25,FALSE,FALSE,TRUE,,,,
mf-12772876,TRUE,Tortas,,7,Chorizo,,,10.99,FALSE,FALSE,FALSE,,,,
mf-12772877,TRUE,Tortas,,8,Ham,,,11.5,FALSE,FALSE,FALSE,,,,
mf-7255502,TRUE,Quesadillas,,1,Asada (Steak),,,9.99,FALSE,FALSE,FALSE,,,,
mf-7255503,TRUE,Quesadillas,,2,Queso,,,7.5,FALSE,FALSE,FALSE,,,,
mf-8042058,TRUE,Quesadillas,,3,Pollo (Chicken),,,9.99,FALSE,FALSE,FALSE,,,,
mf-7255504,TRUE,Quesadillas,,4,Sincronisadas,,,10.5,FALSE,FALSE,TRUE,,,,
mf-8042059,TRUE,Quesadillas,,5,Pork (Pastor),,,9.99,FALSE,FALSE,FALSE,,,,
mf-8042060,TRUE,Quesadillas,,6,Chorizo,,,9.99,FALSE,FALSE,FALSE,,,,
mf-7255505,TRUE,Quesadillas,,7,Nopal (Corn Tortilla),,,9.99,FALSE,FALSE,FALSE,,,,
mf-8042061,TRUE,Quesadillas,,8,Ham (Jamon),,,10.5,FALSE,FALSE,FALSE,,,,
mf-11272024,TRUE,Quesadillas,,9,Calabaza,,,11.99,FALSE,FALSE,FALSE,,,,
mf-11272025,TRUE,Quesadillas,,10,Huitlacoche,,,11.99,FALSE,FALSE,FALSE,,,,
mf-12772875,TRUE,Quesadillas,,11,Cactus,,,11.99,FALSE,FALSE,FALSE,,,,
mf-12772874,TRUE,Quesadillas,,12,Squash Blossom,,,11.99,FALSE,FALSE,FALSE,,,,
mf-8042253,TRUE,Pizadilla,,1,Asada (Steak),,,14.99,FALSE,FALSE,FALSE,,,,
mf-8042254,TRUE,Pizadilla,,2,Pollo (Chicken),,,14.99,FALSE,FALSE,FALSE,,,,
mf-8042255,TRUE,Pizadilla,,3,Pork (Pastor),,,14.99,FALSE,FALSE,FALSE,,,,
mf-8042256,TRUE,Pizadilla,,4,Chorizo,,,14.99,FALSE,FALSE,FALSE,,,,
mf-8042257,TRUE,Pizadilla,,5,Vegetales (Vegetarian),,,14.99,FALSE,FALSE,FALSE,,,,
mf-12772878,TRUE,Pizadilla,,6,Birria,,,14.99,FALSE,FALSE,FALSE,,,,
